Hakai_ID,Sample_date,Site_ID,Line_out_depth,Time_collected,Time_preserved,Sample_volume_ml
QMIC2045,2017-04-20T00:00:00Z,QU39,0,2017-04-20T08:18:42Z,2017-04-20T08:47:57Z,2000
QMIC2046,2017-04-20T00:00:00Z,QU39,5,2017-04-20T08:18:42Z,2017-04-20T08:47:57Z,2000
QMIC2047,2017-04-20T00:00:00Z,QU39,30,2017-04-20T08:26:59Z,2017-04-20T09:03:11Z,2000
QMIC2048,2017-04-20T00:00:00Z,QU39,100,2017-04-20T08:18:42Z,2017-04-20T08:47:57Z,2000
QMIC2049,2017-04-20T00:00:00Z,QU39,260,2017-04-20T07:51:41Z,2017-04-20T07:57:51Z,2000
QMIC2055,2017-04-24T00:00:00Z,QU39,0,2017-04-24T08:19:35Z,2017-04-24T08:57:04Z,2000
QMIC2056,2017-04-24T00:00:00Z,QU39,5,2017-04-24T08:19:35Z,2017-04-24T08:57:04Z,2000
QMIC2057,2017-04-24T00:00:00Z,QU39,30,2017-04-24T08:19:35Z,2017-04-24T08:57:04Z,2000
QMIC2058,2017-04-24T00:00:00Z,QU39,100,2017-04-24T08:19:35Z,2017-04-24T08:57:04Z,2000
QMIC2059,2017-04-24T00:00:00Z,QU39,260,2017-04-24T07:50:42Z,2017-04-24T08:04:45Z,2000
QMIC2065,2017-05-02T00:00:00Z,QU39,0,2017-05-02T08:12:50Z,2017-05-02T09:07:52Z,2000
QMIC2066,2017-05-02T00:00:00Z,QU39,5,2017-05-02T08:12:50Z,2017-05-02T09:07:52Z,2000
QMIC2067,2017-05-02T00:00:00Z,QU39,30,2017-05-02T08:12:50Z,2017-05-02T09:07:52Z,2000
QMIC2068,2017-05-02T00:00:00Z,QU39,100,2017-05-02T08:12:50Z,2017-05-02T09:07:52Z,2000
QMIC2069,2017-05-02T00:00:00Z,QU39,260,2017-05-02T07:37:47Z,2017-05-02T08:12:43Z,2000
QMIC2075,2017-05-08T00:00:00Z,QU39,0,2017-05-08T08:41:00Z,2017-05-08T09:47:02Z,2000
QMIC2076,2017-05-08T00:00:00Z,QU39,5,2017-05-08T08:41:00Z,2017-05-08T09:47:02Z,2000
QMIC2077,2017-05-08T00:00:00Z,QU39,30,2017-05-08T08:41:00Z,2017-05-08T09:47:02Z,2000
QMIC2078,2017-05-08T00:00:00Z,QU39,100,2017-05-08T08:41:00Z,2017-05-08T09:47:02Z,2000
QMIC2079,2017-05-08T00:00:00Z,QU39,260,2017-05-08T08:10:01Z,2017-05-08T08:23:19Z,2000
QMIC2085,2017-05-17T00:00:00Z,QU39,0,2017-05-17T08:56:10Z,2017-05-17T09:36:37Z,2000
QMIC2086,2017-05-17T00:00:00Z,QU39,5,2017-05-17T08:56:10Z,2017-05-17T09:36:37Z,2000
QMIC2087,2017-05-17T00:00:00Z,QU39,30,2017-05-17T08:56:10Z,2017-05-17T09:36:37Z,2000
QMIC2088,2017-05-17T00:00:00Z,QU39,100,2017-05-17T08:56:10Z,2017-05-17T09:36:37Z,1900
QMIC2089,2017-05-17T00:00:00Z,QU39,260,2017-05-17T07:48:56Z,2017-05-17T07:49:26Z,2000
QMIC2095,2017-05-29T00:00:00Z,QU39,0,2017-05-29T07:43:28Z,2017-05-29T08:30:12Z,2000
QMIC2096,2017-05-29T00:00:00Z,QU39,5,2017-05-29T07:43:28Z,2017-05-29T08:30:12Z,2000
QMIC2097,2017-05-29T00:00:00Z,QU39,30,2017-05-29T07:43:28Z,2017-05-29T08:30:12Z,1900
QMIC2098,2017-05-29T00:00:00Z,QU39,100,2017-05-29T07:43:28Z,2017-05-29T08:30:12Z,2000
QMIC2099,2017-05-29T00:00:00Z,QU39,260,2017-05-29T07:09:08Z,2017-05-29T07:43:23Z,2000
QMIC2115,2017-06-12T00:00:00Z,QU39,0,2017-06-12T08:05:38Z,2017-06-12T11:39:27Z,2000
QMIC2116,2017-06-12T00:00:00Z,QU39,5,2017-06-12T08:05:38Z,2017-06-12T11:39:27Z,2000
QMIC2117,2017-06-12T00:00:00Z,QU39,30,2017-06-12T08:05:38Z,2017-06-12T11:39:27Z,2000
QMIC2118,2017-06-12T00:00:00Z,QU39,100,2017-06-12T08:05:38Z,2017-06-12T11:39:27Z,2000
QMIC2119,2017-06-12T00:00:00Z,QU39,260,2017-06-12T07:27:30Z,2017-06-12T07:40:03Z,2000
QMIC2125,2017-06-19T00:00:00Z,QU39,0,2017-06-19T07:45:20Z,2017-06-19T08:08:08Z,2000
QMIC2126,2017-06-19T00:00:00Z,QU39,5,2017-06-19T07:45:20Z,2017-06-19T08:08:08Z,2000
QMIC2127,2017-06-19T00:00:00Z,QU39,30,2017-06-19T07:54:50Z,2017-06-19T08:32:38Z,2000
QMIC2128,2017-06-19T00:00:00Z,QU39,100,2017-06-19T07:54:50Z,2017-06-19T08:32:38Z,2000
QMIC2129,2017-06-19T00:00:00Z,QU39,260,2017-06-19T07:15:03Z,2017-06-19T07:25:31Z,2000
QMIC2135,2017-06-29T00:00:00Z,QU39,0,2017-06-29T07:33:34Z,2017-06-29T08:22:43Z,2000
QMIC2136,2017-06-29T00:00:00Z,QU39,5,2017-06-29T07:33:34Z,2017-06-29T08:22:43Z,2000
QMIC2137,2017-06-29T00:00:00Z,QU39,30,2017-06-29T07:33:34Z,2017-06-29T08:22:43Z,2000
QMIC2138,2017-06-29T00:00:00Z,QU39,100,2017-06-29T07:33:34Z,2017-06-29T08:22:43Z,2000
QMIC2139,2017-06-29T00:00:00Z,QU39,260,2017-06-29T07:04:17Z,2017-06-29T07:04:34Z,2000
QMIC2145,2017-07-07T00:00:00Z,QU39,0,2017-07-07T07:15:44Z,2017-07-07T09:48:25Z,2000
QMIC2146,2017-07-07T00:00:00Z,QU39,5,2017-07-07T07:15:44Z,2017-07-07T09:48:25Z,2000
QMIC2147,2017-07-07T00:00:00Z,QU39,30,2017-07-07T07:15:44Z,2017-07-07T09:48:25Z,2000
QMIC2148,2017-07-07T00:00:00Z,QU39,100,2017-07-07T07:15:44Z,2017-07-07T09:48:25Z,2000
QMIC2149,2017-07-07T00:00:00Z,QU39,260,2017-07-07T06:35:57Z,2017-07-07T06:49:44Z,2000
QMIC2156,2017-07-11T00:00:00Z,QU39,5,2017-07-11T08:15:50Z,2017-07-11T08:33:05Z,2000
QMIC2157,2017-07-11T00:00:00Z,QU39,30,2017-07-11T08:15:50Z,2017-07-11T08:33:05Z,2000
QMIC2158,2017-07-11T00:00:00Z,QU39,100,2017-07-11T08:15:50Z,2017-07-11T08:33:05Z,2000
QMIC2159,2017-07-11T00:00:00Z,QU39,260,2017-07-11T07:41:40Z,2017-07-11T07:54:34Z,2000
QMIC2174,2017-07-17T00:00:00Z,QU39,0,2017-07-17T08:27:11Z,2017-07-17T09:05:49Z,2000
QMIC2175,2017-07-17T00:00:00Z,QU39,5,2017-07-17T08:27:11Z,2017-07-17T09:05:49Z,2000
QMIC2176,2017-07-17T00:00:00Z,QU39,30,2017-07-17T08:27:11Z,2017-07-17T09:05:49Z,2000
QMIC2177,2017-07-17T00:00:00Z,QU39,100,2017-07-17T08:27:11Z,2017-07-17T09:05:49Z,2000
QMIC2178,2017-07-17T00:00:00Z,QU39,260,2017-07-17T07:52:08Z,2017-07-17T08:03:16Z,2000
QMIC2193,2017-08-04T00:00:00Z,QU39,0,2017-08-04T08:23:26Z,2017-08-04T08:31:06Z,2000
QMIC2194,2017-08-04T00:00:00Z,QU39,5,2017-08-04T08:23:26Z,2017-08-04T08:31:06Z,1500
QMIC2195,2017-08-04T00:00:00Z,QU39,30,2017-08-04T08:23:26Z,2017-08-04T08:31:06Z,2000
QMIC2196,2017-08-04T00:00:00Z,QU39,100,2017-08-04T08:23:26Z,2017-08-04T08:31:06Z,2000
QMIC2197,2017-08-04T00:00:00Z,QU39,260,2017-08-04T07:41:15Z,2017-08-04T07:47:12Z,2000
QMIC2204,2017-08-08T00:00:00Z,QU39,5,2017-08-08T09:27:01Z,2017-08-08T10:35:49Z,2000
QMIC2234,2017-08-29T00:00:00Z,QU39,5,2017-08-29T09:15:53Z,2017-08-29T09:44:31Z,1425
QMIC2235,2017-08-29T00:00:00Z,QU39,30,2017-08-29T09:15:53Z,2017-08-29T09:44:31Z,2000
QMIC2236,2017-08-29T00:00:00Z,QU39,100,2017-08-29T09:15:53Z,2017-08-29T09:44:31Z,2000
QMIC2237,2017-08-29T00:00:00Z,QU39,260,2017-08-29T08:46:39Z,2017-08-29T08:55:47Z,2000
QMIC2247,2017-09-05T00:00:00Z,QU39,260,2017-09-05T09:35:50Z,2017-09-05T09:44:39Z,2000
QMIC2253,2017-09-12T00:00:00Z,QU39,0,2017-09-12T09:29:24Z,2017-09-12T12:52:09Z,2000
QMIC2254,2017-09-12T00:00:00Z,QU39,5,2017-09-12T09:29:24Z,2017-09-12T12:52:09Z,2000
QMIC2255,2017-09-12T00:00:00Z,QU39,30,2017-09-12T09:29:24Z,2017-09-12T12:52:09Z,2000
QMIC2256,2017-09-12T00:00:00Z,QU39,100,2017-09-12T09:29:24Z,2017-09-12T12:52:09Z,2000
QMIC2257,2017-09-12T00:00:00Z,QU39,260,2017-09-12T08:52:29Z,2017-09-12T09:08:15Z,2000
QMIC2263,2017-09-18T00:00:00Z,QU39,0,2017-09-18T10:16:57Z,2017-09-18T11:10:07Z,2000
