ASV,Kingdom,Supergroup,Division,Class,Order,Family,Genus,Species,QMIC1955,QMIC1956,QMIC1957,QMIC1958,QMIC1959,QMIC1969,QMIC1965,QMIC1966,QMIC1967,QMIC1968,QMIC1975,QMIC1976,QMIC1977,QMIC1978,QMIC1979,QMIC1985,QMIC1986,QMIC1987,QMIC1988,QMIC1989,QMIC1995,QMIC1996,QMIC1997,QMIC1998,QMIC1999,QMIC2005,QMIC2006,QMIC2007,QMIC2008,QMIC2009,QMIC2015,QMIC2016,QMIC2017,QMIC2018,QMIC2019,QMIC2025,QMIC2026,QMIC2027,QMIC2028,QMIC2029,QMIC2035,QMIC2036,QMIC2037,QMIC2038,QMIC2039,QMIC2045,QMIC2046,QMIC2047,QMIC2048,QMIC2049,QMIC2055,QMIC2056,QMIC2057,QMIC2058,QMIC2059,QMIC2065,QMIC2066,QMIC2067,QMIC2068,QMIC2069,QMIC2075,QMIC2076,QMIC2077,QMIC2078,QMIC2079,QMIC2085,QMIC2086,QMIC2087,QMIC2088,QMIC2089,QMIC2095,QMIC2096,QMIC2097,QMIC2098,QMIC2099,QMIC2115,QMIC2116,QMIC2117,QMIC2118,QMIC2119,QMIC2125,QMIC2126,QMIC2127,QMIC2128,QMIC2129,QMIC2135,QMIC2136,QMIC2137,QMIC2138,QMIC2139,QMIC2145,QMIC2146,QMIC2147,QMIC2148,QMIC2149,QMIC2156,QMIC2157,QMIC2158,QMIC2159,QMIC2174,QMIC2175,QMIC2176,QMIC2177,QMIC2178,QMIC2193,QMIC2194,QMIC2195,QMIC2196,QMIC2197,QMIC2204,QMIC2234,QMIC2235,QMIC2236,QMIC2237,QMIC2247,QMIC2253,QMIC2254,QMIC2255,QMIC2256,QMIC2257,QMIC2263,QMIC2276,QMIC2277,QMIC2278,QMIC2294,QMIC2295,QMIC2296,QMIC2297,QMIC2298,QMIC2313,QMIC2326,QMIC2327,QMIC2328,QMIC2329,QMIC2330,QMIC2336,QMIC2337,QMIC2338,QMIC2339,QMIC2340,QMIC2346,QMIC2347,QMIC2348,QMIC2349,QMIC2350,QMIC2356,QMIC2357,QMIC2358,QMIC2359,QMIC2360,QMIC2366,QMIC2367,QMIC2368,QMIC2369,QMIC2370,QMIC2372,QMIC2374,QMIC2376,QMIC2378,QMIC2380,QMIC2386,QMIC2387,QMIC2388,QMIC2389,QMIC2390,QMIC2396,QMIC2397,QMIC2398,QMIC2399,QMIC2400
H3_ASV1,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Paracalanus,Paracalanus_parvus,11,4,9,9,7,0,0,0,9,39,10,10,5,7,0,13,8,0,6,11,9,4,8,10,69,5,17,10,15,5,14,0,14,6,8,6,10,243,7,0,0,0,11,10,32,0,59,0,0,11,0,165,17,0,5,238,57,8,7,8,705,0,0,4,0,473,4,74,0,0,248,254,0,4,51,2550,10089,265,66,17,11534,13886,2915,11,25,1023,2960,425,0,4,103869,4217,82,18,21,95,73,14,47,13576,29263,204,88,21,835,3611,121,21,31,7170,10114,8413,5,11,34,14668,20675,6151,44,14,542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV2,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-7,Dino-Group-I-Clade-7_X,Dino-Group-I-Clade-7_X_sp.,18,11,58,207,4895,2820,35,29,114,697,17,15,11,587,2493,6,54,9,343,3509,7,42,157,308,8558,6,25,15,303,7025,13,10,4,43,16086,6,18,14,200,5857,12,7,36,157,6668,11,34,12,31,6200,11,0,8,58,4367,0,0,0,583,8099,20,15,25,224,4158,12,17,5,102,4609,16,13,22,130,13172,9,16,54,194,9203,11,4,64,180,17158,13,58,83,186,6210,81,16,54,391,28032,18,57,387,23799,12,14,116,485,10504,4,11,483,704,17176,12,53,137,239,5544,16620,6,10,57,127,2047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV3,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Oithona,Oithona_similis,7025,2099,1499,1050,742,0,1051,1313,3105,3448,1780,3080,3037,43,1215,3482,5042,442,5,9,497,3470,1010,9,22,5570,25555,7251,3826,20,975,1351,1401,1362,32,1465,4984,3188,1575,14,3362,1337,26603,2094,18,979,1634,5678,1359,13,2353,2502,2994,1345,21,826,543,904,4768,8,18,56,4159,1938,5,950,1374,1779,1599,0,86,1373,1015,0,33,1846,3689,7188,2806,10,62,357,14673,92,13,146,3904,6512,1996,8,18875,13361,5946,7562,40,18369,2992,3513,19,754,1219,3612,1478,7,0,354,3825,5083,19,638,759,3657,818,0,17,1583,1987,1201,445,4,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV4,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_helveticum,14,20,35,0,0,0,80,58,0,0,33,23,39,248,0,16,0,104,19,0,0,0,70,42,0,537,2907,1163,447,51,4383,2953,7114,2775,357,2635,3472,4234,2299,6269,902,1024,5406,1092,15424,1447,2363,1513,219,3154,2436,507,424,420,709,1916,1346,652,3453,2540,1664,2921,1463,6402,3324,1911,5378,996,566,7413,991,480,25,181,10086,110,99,2345,2324,6041,39,25,763,2427,8426,114,112,336,544,2183,54,33,3833,1473,5690,77,3164,1460,2790,0,22,1232,1057,1922,34,56,956,536,1904,343,22,69,186,220,249,0,0,111,91,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV5,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniales@,Peridiniales@@,Peridiniales@@@,3803,1473,1122,144,50,44,5872,3849,1370,158,1623,2035,1050,159,36,2905,3602,1430,192,50,22,359,2470,311,112,91,536,875,1853,118,383,386,237,722,282,158,156,713,883,156,1032,631,6664,960,114,128,382,975,431,72,634,138,136,424,69,1582,1040,96,3955,131,7691,8875,3532,915,94,987,2315,1218,623,99,122,165,581,593,160,1620,1805,2145,1220,130,0,0,7638,1703,52,64,59,3151,649,81,198,92,3942,1758,185,44,4114,1199,613,0,0,4676,1748,104,0,22,8785,2008,239,27,0,1163,923,122,206,0,0,843,364,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV6,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Pseudocalanus,Pseudocalanus_elongatus,2460,473,0,0,0,9,0,1193,1686,7,2257,8498,6,11,12,4988,8009,2160,0,0,680,5484,3043,12,7,5374,4684,4225,13,0,588,6123,587,499,14,664,142,1271,49,0,542,87,2235,2389,4,384,157,1581,85,0,195,181,1202,10,0,0,0,557,14,639,0,0,1513,1763,0,206,161,270,0,0,438,570,379,0,12,16,112,2719,199,0,65,148,3124,378,1541,131,3828,434,3,0,1326,9707,162,0,1924,5468,17,2623,7,49,138,318,0,3,43,68,984,12,5,2473,1205,3025,314,157,6040,560,697,197,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV7,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II_X,Dino-Group-II_XX,Dino-Group-II_XX_sp.,0,14,40,899,4060,2811,44,14,177,3142,0,12,69,2760,2598,13,20,0,1576,4183,7,16,329,1652,4495,3,18,13,1180,5204,18,11,6,412,14049,0,15,0,1624,5705,0,0,23,1645,2704,15,16,12,2890,1307,6,0,0,1211,883,0,0,0,9033,1944,16,15,24,5408,1269,0,18,19,4199,956,13,12,94,1236,2431,0,0,81,1597,264,5,0,30,594,203,0,0,0,147,153,12,0,6,261,392,0,0,71,677,0,0,0,39,120,0,0,0,51,306,0,7,0,41,212,243,0,0,0,27,60,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV8,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_pygmaea,5454,1108,468,0,0,0,7691,3987,674,114,1614,2060,557,0,0,4512,5832,561,0,0,2542,4118,260,0,0,0,347,558,731,0,122,118,0,0,0,99,77,157,0,0,178,117,1057,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,801,228,0,0,0,171,200,0,0,0,0,0,114,0,0,2238,2590,121,0,0,0,0,77,0,0,1057,0,0,0,0,0,610,0,0,639,1157,7969,0,0,2707,234,231,0,0,0,78,59,0,0,0,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV9,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.,23,18,65,1498,4663,2580,61,24,130,2811,0,13,45,3729,3589,20,60,16,2104,9143,16,43,510,3175,13322,8,30,11,1514,9288,12,7,0,273,12234,8,10,11,867,4293,0,0,42,506,1693,0,14,0,100,1315,0,0,0,97,542,0,0,0,142,438,0,0,11,49,208,0,9,0,14,251,0,0,0,19,640,0,0,0,18,304,0,0,16,12,445,0,0,0,9,133,0,0,0,18,323,0,0,0,304,5,0,0,12,105,0,0,0,0,495,0,0,0,0,378,323,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV10,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Plagioselmis,Plagioselmis_prolonga,1170,328,142,0,0,0,1385,1097,315,44,649,544,138,0,0,926,974,102,0,0,590,794,73,0,0,61,686,292,75,10,1204,1324,36,16,6,809,623,491,11,0,448,189,1752,9,0,438,364,227,0,0,280,26,20,62,0,69,24,0,0,7,366,494,29,0,3,430,1294,562,9,0,6600,4401,336,0,15,11385,9621,740,35,0,205,154,2603,9,0,3775,3342,1727,0,6,5026,5279,734,34,0,3565,186,0,11,4056,2826,235,12,6,1461,2176,1285,70,13,2759,2562,818,10,8,0,622,702,41,8,0,580,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV11,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-2,Dino-Group-I-Clade-2_X,Dino-Group-I-Clade-2_X_sp.,142,57,157,1452,233,60,147,46,422,3246,11,19,103,2292,78,11,22,10,1097,113,0,14,233,1438,122,4,12,9,2206,284,9,0,2,390,4323,5,0,9,1462,5131,0,0,17,757,3439,5,16,0,569,2110,4,0,0,553,857,0,0,0,2637,590,0,0,154,642,333,0,0,2,334,1104,10,5,243,245,658,0,17,709,2165,122,0,0,771,2702,90,28,18,355,796,20,12,7,73,3624,205,5,193,1558,3637,5,0,512,2193,167,0,2,1485,2332,187,11,6,85,822,43,54,0,0,265,1325,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV12,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Teleaulax,Teleaulax_acuta,2930,878,386,0,6,0,6016,4143,370,42,2461,2955,209,19,5,947,1393,343,13,5,1749,2308,221,9,7,40,377,345,113,0,143,139,0,15,0,89,85,170,0,0,158,28,679,0,0,17,44,43,0,0,20,0,0,0,0,8,0,0,0,0,360,367,13,0,0,86,340,20,0,12,2386,867,0,0,0,1425,1058,102,0,9,72,38,191,7,0,2230,1634,48,3,0,221,458,75,12,8,4791,63,8,9,223,144,56,0,6,1179,1298,454,0,11,1231,1233,174,0,0,7,164,173,191,0,0,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV13,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Calanus,Calanus_helgolandicus,0,0,0,0,0,0,7,0,0,45,0,0,0,0,0,0,0,0,0,5,0,0,0,0,36,149,2626,2391,0,8,50,800,2007,3329,0,2006,0,366,0,0,0,0,364,0,0,62,32,160,0,0,0,114,486,0,0,395,3,589,0,0,713,7,2948,0,4,1267,0,0,0,0,404,54,0,0,0,0,0,0,0,0,203,259,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,2106,0,0,0,0,0,0,0,0,0,7055,0,0,0,0,49,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV14,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Metridia,Metridia_sp.,0,168,0,17979,0,0,0,0,0,942,2629,8321,2869,0,0,0,0,3060,0,0,0,2993,0,8259,0,0,103,1829,6464,0,22,0,226,1291,0,0,0,0,4120,36,0,0,0,9385,0,0,0,0,11,0,0,28,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,1778,0,0,0,0,8054,0,10,0,0,0,0,0,0,0,2261,0,0,0,0,0,0,0,0,0,0,584,0,0,2346,0,0,0,0,330,8002,0,0,0,1361,0,0,0,0,0,742,41,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV15,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,Gymnodinium_sp.,1271,459,103,47,59,0,4025,1474,175,75,920,1922,535,42,18,551,934,306,69,48,46,507,491,40,43,185,1063,1042,3826,74,93,167,27,226,515,204,230,459,706,209,628,181,1767,413,128,80,68,89,169,109,81,26,0,187,47,346,211,0,204,106,2363,3624,33,105,55,696,2288,767,629,49,234,671,57,305,97,143,181,851,1511,72,22,68,1593,674,63,512,414,4982,1111,23,121,29,471,2493,1670,0,306,1300,4117,0,0,344,1047,593,0,31,2131,865,285,68,36,105,264,24,46,0,0,51,166,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV16,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,942,345,339,20,8,0,2293,1426,555,198,961,1920,1022,89,5,1359,1841,426,187,0,4005,4584,737,106,15,19,107,147,279,0,0,0,0,29,0,0,0,0,0,0,12,0,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,83,25,0,0,163,122,0,0,0,92,10,0,0,102,47,0,3,0,182,253,164,0,7,646,6142,304,4,0,0,638,682,102,24,0,322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV17,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,59,48,40,1227,143,116,49,0,103,2709,0,0,0,2111,70,0,0,0,1022,93,0,0,0,1661,114,0,0,0,793,65,0,0,0,176,319,0,0,0,1047,301,0,0,0,470,101,0,0,0,381,171,0,0,0,550,60,0,0,0,2192,54,0,0,45,1059,25,0,0,0,2603,161,0,0,300,704,287,0,0,280,2270,170,0,0,203,1070,101,0,0,107,603,107,22,0,157,3484,412,0,172,798,2171,0,8,239,661,174,0,0,1518,971,485,11,0,136,507,197,497,0,0,90,532,114,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV18,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_spirale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,1247,179,0,0,2242,2323,1711,39,22,1024,2008,1372,45,0,214,84,567,0,0,8113,7546,2713,0,0,5186,2389,2095,12,0,1840,961,508,71,0,508,508,107,128,0,1156,3749,0,57,0,608,91,0,0,0,56,0,37,0,0,109,450,0,0,0,1271,1331,0,0,0,2685,509,237,0,0,372,157,0,0,93,41,0,0,0,215,116,0,0,0,886,141,0,0,0,0,0,0,103,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV19,Eukaryota,Opisthokonta,Metazoa,Arthropoda,Crustacea,Maxillopoda,Centropages,Centropages_hamatus,2021,235,0,0,0,0,7,0,0,0,237,0,0,0,43,2446,793,0,2,0,208,0,0,0,0,187,2051,0,0,3,4030,2144,111,60,23,4731,7138,1309,89,221,2373,317,31462,25,423,1700,2317,897,0,0,2357,786,425,11,0,1444,246,306,16,33,8064,1013,3089,656,0,2432,351,0,74,0,0,18,0,0,0,471,7,0,35,0,214,404,8,0,0,0,831,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV20,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Chaetoceros,Chaetoceros_sporotruncatus,48,17,20,10,71,15,49,25,34,37,17,16,30,13,0,0,4,0,5,48,0,0,27,15,34,0,13,4,4,41,101,241,10,11,159,605,696,496,41,8,141,49,932,241,122,533,1041,462,66,42,576,291,280,125,21,10,3,1080,3406,2028,11,13,610,482,118,139,705,104,203,369,76,20,269,85,97,0,0,81,234,71,0,0,73,134,67,0,12,156,32,20,12,0,0,96,85,4,5,27,83,0,0,0,35,0,3,11,53,11,20,5,0,5,9,7,53,0,0,16,12,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV21,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,181,85,90,0,0,0,487,228,167,104,146,292,166,0,0,480,584,172,82,0,590,558,455,71,0,0,75,61,794,0,8,17,0,121,0,0,0,0,33,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,23,26,12,0,0,0,0,12,0,0,0,0,3917,0,0,311,179,340,0,0,241,485,599,34,0,512,164,0,0,371,427,383,0,0,18,24,919,0,0,79,85,340,0,0,0,385,461,175,0,7,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV22,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,375,203,252,48,20,0,671,264,461,249,76,158,220,46,0,162,237,61,60,14,74,112,308,57,18,15,60,33,194,0,0,8,0,65,0,0,0,0,93,0,20,10,85,99,0,5,0,9,38,39,0,0,0,70,0,0,0,0,35,0,0,0,63,0,0,0,7,27,43,0,28,48,56,0,0,123,189,370,0,0,0,0,1653,41,0,345,209,480,0,0,348,552,1677,120,0,1555,759,0,0,210,225,1097,47,0,0,9,1224,49,23,59,170,876,47,0,19,407,590,324,83,16,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV23,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-7,Dino-Group-II-Clade-7_X,Dino-Group-II-Clade-7_X_sp.,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1125,0,0,0,0,3178,31,12,22,11,5692,16,9,0,0,3226,32,0,0,0,3824,28,0,0,0,1198,26,0,0,0,652,73,0,0,120,1969,96,0,12,348,4725,52,0,0,241,3176,44,0,0,86,2327,55,0,0,74,4804,57,0,61,882,412,0,0,151,651,0,0,0,284,973,0,0,0,26,145,0,0,0,0,0,150,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV24,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_fusiforme,193,86,43,0,0,0,718,255,56,0,436,426,33,0,0,221,204,99,0,0,680,728,74,0,0,109,735,408,69,0,555,618,331,295,33,230,476,309,321,74,258,117,688,113,147,1058,806,505,0,66,862,268,374,0,17,355,250,192,175,33,717,703,404,48,21,1066,2250,225,0,0,2146,450,0,0,42,1476,1172,540,143,90,1263,848,1093,175,212,1801,1424,239,30,25,963,694,1080,132,95,1800,1054,71,109,31,30,435,70,65,450,604,169,75,63,1042,127,131,0,12,73,50,51,81,53,0,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H3_ASV25,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae@,Dinophyceae@@,Dinophyceae@@@,Dinophyceae@@@@,77,0,0,71,49,0,0,0,0,82,38,42,46,81,0,68,105,52,72,0,0,353,0,57,75,2361,20239,1564,315,69,2908,2982,314,195,137,4125,3131,3559,98,112,731,364,7221,106,0,3319,2686,1074,124,0,876,385,288,186,0,111,51,33,341,56,0,155,189,0,0,0,0,103,71,0,0,43,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
